id_crop,crop,faostat-food_supply,faostat-crops,faostat-value_agricultural_production,faostat-crops_lives_products
1,Abaca,,Abaca,Abaca,Abaca
2,Acerola,,,,
3,Achira,,,,
4,Ackee,,,,
5,Adlay,"Cereals, Other","Cereals, nes","Cereals, nes",
6,Adzuki bean,Beans,Beans,Beans,Beans
7,Aeschynomene,,,,
8,African eggplant,,,,
9,Agave,,Agave fibres nes,Agave fibres nes,
10,Agropyron,,,,
11,Agrostis,,,,
12,Ahipa,,,,
13,Albardine,,Fibre crops nes,Fibre crops nes,
14,Alfalfa,,,,Alfalfa
15,Allspice,Chillies and peppers,Chillies and peppers,Chillies and peppers,Chillies and peppers
16,Almonds,Nuts,Almonds,Almonds,Almonds
17,Alopecurus,,,,
18,Alysicarpus,,,,
19,Amaranth,"Cereals, Other","Cereals, nes","Cereals, nes",
20,Andropogon,,,,
21,Anise,"Spices, Other","Anise, badian, fennel, coriander","Anise, badian, fennel, coriander","Anise, badian, fennel, coriander"
22,Annato,,,,
23,Apple,Apples,Apples,Apples,Apples
24,Apricot,"Fruits, Other",Apricots,Apricots,Apricots
25,Areca nuts,Nuts,Areca nuts,Areca nuts,"Nuts, nes"
26,Arracacha,"Roots, Other","Roots and tubers, nes","Roots and tubers, nes","Roots and tubers, nes"
27,Arrhenatherum,,Asparagus,,
28,Arrowroot,"Roots, Other","Roots and tubers, nes","Roots and tubers, nes","Roots and tubers, nes"
29,Artichokes,"Vegetables, Other",Artichokes,Artichokes,Artichokes
30,Asparagus,"Vegetables, Other",Asparagus,Asparagus,Asparagus
31,Astragalus,,,,
32,Atemoya,"Fruits, Other","Fruit, tropical fresh nes","Fruit, tropical fresh nes","Fruit, tropical fresh nes"
33,Atriplex,,,,
34,Avocado,"Fruits, Other",Avocados,Avocados,Avocados
35,Azarole,"Fruits, Other","Fruit, fresh nes","Fruit, fresh nes","Fruit, fresh nes"
36,Babaco,"Fruits, Other","Fruit, fresh nes","Fruit, fresh nes","Fruit, fresh nes"
37,Badian,"Spices, Other","Anise, badian, fennel, coriander","Anise, badian, fennel, coriander","Anise, badian, fennel, coriander"
38,Bambara bean,"Pulses, Other",Bambara beans,Bambara beans,Bambara beans
39,Bamboo shoot,"Vegetables, Other","Vegetables, fresh nes","Vegetables, fresh nes","Vegetables, fresh nes"
40,Bananas,Bananas,Bananas,Bananas,Bananas
41,Barley,Barley,Barley,Barley,Barley
42,Basil,,,,
43,Bay leaf,"Spices, Other","Spices, nes","Spices, nes","Spices, nes"
44,Beech nut,"Oilcrops, Other",Oilseeds nes,Oilseeds nes,Oilseeds nes
45,Beets,"Vegetables, Other","Vegetables, fresh nes","Vegetables, fresh nes",Beets
46,Black gram,Beans,Beans,Beans,Beans
47,Black nightshade,,,,
48,Black salsify,"Vegetables, Other","Vegetables, fresh nes","Vegetables, fresh nes","Vegetables, fresh nes"
49,Blueberry,"Fruits, Other",Blueberries,Blueberries,Blueberries
50,Brachiaria,,,,
